query,P@10,Recall@10,AP@10
1,0.5,0.13513513513513514,0.125
2,0.5,0.3125,0.22239583333333332
3,0.7,0.3181818181818182,0.2856060606060606
4,0.5,0.21739130434782608,0.10564182194616976
5,0.8,0.3076923076923077,0.3
6,0.7,0.5384615384615384,0.5021367521367521
7,0.6,0.4,0.35888888888888887
8,0.4,0.36363636363636365,0.2131313131313131
9,0.7,0.25,0.206859410430839
10,0.2857142857142857,0.08333333333333333,0.048611111111111105
11,0.6,0.3333333333333333,0.2701719576719577
12,0.5,0.5555555555555556,0.412037037037037
13,0.7,0.3333333333333333,0.32275132275132273
14,0.6,0.375,0.3040178571428571
15,0.8,0.27586206896551724,0.2570470717022441
16,0.5,0.38461538461538464,0.27991452991452986
17,0.2,0.09523809523809523,0.03741496598639456
18,0.5,0.3333333333333333,0.16666666666666666
19,0.7,0.25925925925925924,0.24316578483245146
20,0.2,0.05128205128205128,0.03296703296703296
21,0.3,0.1111111111111111,0.08994708994708994
22,0.2,0.08,0.02333333333333333
23,0.8,0.20512820512820512,0.2022792022792023
24,0.8,0.36363636363636365,0.36363636363636365
25,0.9,0.375,0.36620370370370375
26,0.1,0.03571428571428571,0.0035714285714285718
27,0.7,0.3888888888888889,0.353395061728395
28,0.7,0.1794871794871795,0.17012617012617012
29,0.9,0.24324324324324326,0.2341591591591592
30,0.4,0.2857142857142857,0.25510204081632654
mean,0.5595238095238095,0.27303559262092497,0.2252059657186045
